tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,0,1,0,1,1,-0.74,0.42,0.09,-181.61,234.15,-601.26,0
1,0,1,0,1,1,-0.84,0.33,0.16,-236.63,317.44,-1174.14,0
1,1,1,0,1,1,-0.88,0.06,-0.00,13.57,-54.92,-214.42,0
1,1,1,0,1,1,-0.79,0.02,-0.01,265.77,-1100.20,815.46,0
1,1,1,1,1,0,-1.03,0.31,0.50,249.50,-338.63,860.70,0
1,1,1,1,1,0,-0.64,0.35,0.32,-72.48,503.05,-468.56,0
1,1,1,0,1,1,-0.87,0.23,0.24,-190.85,1050.09,-921.08,0
1,1,1,0,1,1,-0.94,0.01,-0.02,-80.59,165.39,-421.16,0
1,1,1,0,1,1,-0.88,-0.11,-0.04,-89.78,-569.91,-600.02,4
1,1,1,0,1,1,-0.80,-0.22,0.24,-100.75,-1569.68,-571.80,4
1,1,1,1,1,0,-0.50,-0.28,0.80,9.68,292.63,374.62,0
1,1,1,0,1,1,-0.72,-0.22,0.31,-203.61,1228.89,403.33,4
1,1,1,0,1,1,-0.97,-0.15,0.01,28.81,-435.49,144.80,4
1,1,1,0,1,1,-1.04,-0.10,0.27,-32.81,92.21,-88.97,4
1,1,1,0,1,0,-0.78,-0.03,0.08,203.45,1128.25,517.16,4
1,1,1,0,1,1,-0.95,0.10,-0.11,-235.28,1335.59,668.01,0
1,1,1,0,1,1,-0.85,0.20,-0.49,-76.05,-542.45,-378.79,0
1,1,1,0,1,1,-0.97,0.00,-0.04,95.35,-780.38,-279.60,0
1,1,1,0,1,1,-1.02,-0.00,0.11,-88.32,179.66,124.53,4
1,0,1,0,1,1,-1.36,0.13,-0.01,-458.51,722.71,-959.40,0
1,1,0,0,1,1,-0.33,-0.21,-0.55,-213.72,615.80,-815.08,0
0,1,0,0,1,1,-0.59,-0.36,-0.44,28.65,-308.36,599.58,0
1,1,1,0,1,1,-1.12,-0.23,-0.27,11.30,-336.95,762.55,4
1,1,1,0,1,1,-0.96,-0.05,-0.24,-64.37,23.78,92.48,4
1,1,1,0,1,1,-0.83,-0.05,-0.17,47.78,-447.70,252.52,4
1,1,1,0,1,1,-0.77,0.17,0.26,220.74,-1771.13,610.93,0
1,1,1,1,1,0,-1.05,0.16,0.46,-38.16,65.40,155.13,0
1,1,1,0,1,1,-0.84,0.12,0.33,-148.04,1101.28,-479.32,0
1,1,1,0,1,1,-0.86,0.04,0.10,-188.96,179.61,-461.70,0
1,1,1,0,1,1,-0.98,-0.06,0.08,-263.60,-135.99,-557.48,4
1,1,1,0,1,1,-0.75,-0.24,0.10,-130.10,-794.49,-736.55,4
1,1,1,1,1,0,-0.52,-0.42,0.53,330.36,-383.27,364.57,0
1,1,1,1,1,0,-0.76,-0.27,0.41,-184.42,863.84,188.37,0
1,1,1,0,1,1,-0.86,-0.31,0.02,-201.45,433.81,-37.84,4
1,1,0,0,1,1,-0.96,-0.28,-0.01,61.29,-125.13,251.50,4
1,1,0,0,1,1,-0.66,-0.06,0.24,251.82,-1132.47,830.92,4
1,1,1,1,1,0,-0.93,0.08,0.65,371.06,-843.73,941.61,0
1,1,1,1,1,0,-0.57,0.21,0.60,-105.24,405.38,-357.44,0
1,1,1,0,1,0,-0.78,0.11,0.42,-331.92,848.54,-950.10,0
1,1,1,0,1,1,-0.92,-0.13,0.25,-162.75,184.96,-381.71,4
1,1,1,0,1,1,-0.88,-0.18,0.27,-240.31,-143.18,-425.27,4
1,1,1,0,1,1,-0.90,-0.36,0.19,113.88,-408.08,-995.83,4
1,1,0,1,1,0,-0.32,-0.46,0.50,102.32,18.49,-208.74,0
1,1,1,0,1,0,-0.56,-0.33,0.49,73.02,82.86,1004.91,0
1,1,1,0,1,1,-0.84,-0.14,0.36,25.03,-263.06,1157.87,4
1,1,1,0,1,1,-0.85,0.15,0.53,228.15,-768.38,543.37,0
1,1,1,1,1,0,-0.73,0.14,0.74,8.38,495.91,-247.17,0
1,1,1,0,1,0,-0.71,0.10,0.36,-225.55,885.89,-595.96,0
1,1,1,0,1,1,-0.84,-0.09,0.21,-147.29,63.73,-287.55,4
1,1,1,0,1,1,-0.80,-0.06,0.27,186.85,-233.98,234.69,4
1,1,1,0,1,1,-0.78,0.23,0.38,534.56,-211.34,1043.12,0
1,0,1,0,1,0,-0.90,0.37,0.49,223.34,651.58,802.76,0
1,0,1,0,1,0,-0.97,0.35,0.11,-47.02,847.35,-419.11,0
1,0,1,0,1,1,-0.88,0.24,-0.01,-233.17,569.53,-1259.32,0
1,1,1,0,1,1,-0.91,-0.06,-0.14,-142.37,153.99,-770.22,4
